Rank,Word,Part of Speech,English Translation,Phrase,English Phrase
43,muy,adv,"very, really",está muy contento con mi trabajo,she is very happy with my work
44,saber,v,"to know (a fact), find out",se necesita humildad para saber reconocer las propias faltas,you need humility to know how to recognize your own faults
45,sí,adv,yes,quiero una respuesta concreta: sí o no,I need a solid answer: yes or no
46,año,nm,year,no lo supo hasta casi un año después,he didn’t find out until almost a year later
47,ti,pron,you (obj prep-sg/+fam),"no, la carta no es para ti","no, the letter is not for you"
48,te,pron,you (obj/+fam),¿No te han hablado?,They haven’t spoken with you?
49,también,adv,also,también habla italiano,she speaks Italian as well
50,qué,pron,"what?, which?, how (+ADJ)!",no sé qué voy a hacer,I don’t know what I’m going to do
51,alguno,adj,"some, a few",habló algunas palabras con el agente de negocios,he spoke a few words with the business agent
52,nos,pron,us (obj),nos vio en la calle,he saw us on the street
53,tu,adj,your (+fam),ésta es tu casa y ésta es tu cama,this is your house and this is your bed
54,sin,prep,without,se habían quedado sin dinero,they were left without money
55,mismo,adj,same,pronunciando el mismo discurso en siete idiomas,giving the same speech in seven languages
56,eso,pron,that (n),y eso no es todo,and that isn’t everything
57,cuando,adv,when,"aquel libro es de mis nietos, cuando eran bebes todavía","that book belonged to my grandchildren, when they were still babies"
58,querer,v,"to want, love",quiero que este proceso salga con limpieza,I want this process to go cleanly
59,vez,nf,time (specific occurrence); en v. de: instead of,es la primera vez que estoy junto al mar,this is the first time that I have been near to the sea
60,hasta,prep,"until, up to, even (ADV)","toda la noche, hasta las tres de la mañana","all night long, until three in the morning"
61,la,pron,[3rd person] (dir obj-f),la puso en su bolsillo,he put it in his pocket
62,sobre,prep,"on top of, over, about",dejó el papel sobre la mesa y se fue,he left the paper on top of the table and left
63,entre,prep,"between, among",la cosa es entre tú y yo,the matter is between you and me
64,dos,num,two,la familia se reúne cada dos años,the family gets together every two years
65,día,nm,day,cada día hay más problemas,every day there are more problems
66,grande,adj,"large, great, big",tiene los grandes ojos negros y bonitos,she has the biggest and most beautiful black eyes
67,así,adv,like that,la vida es así,life is like that
68,pasar,v,"to pass, spend (time)",no ha pasado ni un bus,not a single bus has passed by
69,cosa,nf,thing,estoy ya interesado en otra cosa,I am interested in a different matter
70,desde,prep,"from, since",Lo habia pensado desde el principio que era una mal idea.,I thought from the beginning that this was a bad idea.
71,deber,v,"should, ought to; to owe",la cosa está en el lugar donde debe estar,the thing is in the place where it should be
72,ella,pron,"she, [ellas] them (f)",ella es muy estudiosa,she is very studious
73,pues,conj,"then, well then","pues, venga usted cuando quiera","well then, come whenever you want"
74,entonces,adv,"so, then",vamos entonces a cambiarlo,then we are going to change it
75,llegar,v,to arrive,por fin llegamos al fondo de la catarata,we finally arrived at the bottom of the waterfall
76,poco,adj,"little, few, a little bit (adv)",trabajó poco tiempo con él,he worked a little while with him
77,nuestro,adj,our,no servía para nuestro país porque somos diferentes,it was no good for our contry because we’re different
78,bien,adv,well,el número de bienes que pueda poseer en un momento dado,the number of goods one possesses in a given moment
79,ni,conj,"not even, neither, nor",pero ni eso me tranquilizó,but not even that reassured me
80,tiempo,nm,time (general),ha estado mucho tiempo con ella,he has been with her a long time
81,ahora,adv,now,lo importante ahora es contarte lo que le pasó,the important thing now is to tell you what happened
82,primero,adj,first,"Primero, vamos a ir al supermercado.","First, we are going to go to the grocery store."
83,creer,v,"to believe, think",creo en la justicia de Dios,I believe in the justice of God
84,donde,adv,where,no sé donde está la llave,I don’t know where the key is
85,vida,nf,life,ha dedicado toda la vida a la música,she has dedicated her life to music
86,dejar,v,"to let, leave",ella no dejó que yo lo olvidara,she didn’t let me forget it
87,nada,pron,"nothing, (not) at all",no hay nada que hacer,there is nothing to do
88,tanto,adj,"so much, so many",no podía creer que haya tanta gente junta,I couldn’t believe there were so many people together
89,parecer,v,"to seem, look like",Mi burra es tan flaca parece un esqueleto.,My donkey is so thin he looks like a skeleton.
90,hablar,v,"to speak, talk","algunos hablan quechua, español, e inglés","some of them speak Quechua, Spanish, and English"
91,poner,v,"to put (on), get (+ADJ)",puso el cuchillo en la mano,he put the knife in his hand
92,parte,nf,"part, portion",el arte es una parte tan importante de la cultura,art is such an important part of culture
93,eh,interj,eh,"Te interesa esta bufanda, ¿eh?","You are interested in this scarf, eh?"
94,nuevo,adj,new,marcaba el comienzo de una nueva vida para mí,it marked the beginning of a new life for me
95,sólo,adv,"only, just",no siempre vestía ropa de mujer; sólo en carnaval,I don’t always wear women’s clothes; only during carnival
96,siempre,adv,"always, forever",siempre ha sido así,she has always been like that
97,hombre,nm,"man, mankind, husband",yo soy un hombre de pocas necesidades,I am a man of few needs
98,bueno,adv,well . . .,"Bueno, ¿y ahora qué hacemos?","Well, so what are we going to do now?"
99,seguir,v,"to follow, keep on",no la puedo seguir porque habla demasiado rápido,I couldn’t keep up because she was speaking so quickly
100,quedar,v,"to remain, stay",El aire empezó a quedarse quieto.,The air began to remain still.
101,llevar,v,"to take, carry",colgado al hombro llevaba un bolso,the man carried a bag over his shoulder
102,encontrar,v,to find,encontró un lugar apropiado para instalar la sucursal,he found a suitable place to set up the office
103,bueno,adj,good,"Bueno, ¿y ahora qué hacemos?","Well, so what are we going to do now?"
104,tan,adv,"such, as, too, so",¡Tiene unas orejas tan grandes!,His ears are so big!
105,pensar,v,to think,trataba de pensar de dónde podría sacar el dinero,he tried to think of where he could get some money
106,casa,nf,house,bienvenido a mi casa,welcome to my home
107,cada,adj,"each, every",aprendo cada día un poco más,I learn a little more each day
108,persona,nf,person,era una persona de mucho talento,she was a very talented person
109,país,nm,country,ha viajado por todos los países de las Américas,he has traveled through all the countries in the Americas
110,algo,pron,"something, somewhat",tengo algo que decirte,I have something to tell you
111,esto,pron,this (n),quiero esto o aquello,I want this or that
112,volver,v,"to return, to V again",Los habitantes afectados pueden volver a sus casas.,Affected people can return to their homes.
113,usted,pron,you (subj/–fam),¿Cómo está usted?,How are you?
114,salir,v,"to leave, go out",¿A qué hora sale el tren?,What time does the train leave?
115,después,adv,after,vamos a dar un paseo después de comer,we are going to go for a walk after eating
116,mejor,adj,"best, better (ADV)","yo, al fin y al cabo, soy el mejor amigo","I, after all, am the best friend"
117,menos,adj,"less, fewer",no vale más ni menos que la anterior,it is worth no more nor less than the previous one
118,venir,v,to come,unos afirman que el jazz viene de África,some say jazz comes from Africa
119,forma,nf,"form, shape, way",necesito estar en buena forma física,I need to be in good physical shape
120,mujer,nf,"woman, wife",su mamá es una mujer muy enferma y no puede trabajar,your mother is a very sick woman and she cannot work
121,momento,nm,"moment, time",estaba pasando uno de los peores momentos de mi vida,I was having one of the worst moments of my life
122,llamar,v,"to call, name",el juez se llamaba Pedro Barreda,the judge was named Pedro Barreda
123,mundo,nm,world,no se parecía a ninguna ciudad del mundo,it didn’t look like any other city in the world
124,claro,adj,clear,Eres genial por explicarlo de forma tan clara.,It is so nice of you to explain it in such a clear way.
125,mirar,v,"to look, watch",miraba distraída a las estrellas,I gazed absentmindedly at the stars
126,medios,nm,"means, resources",No cuenta con los medios suficientes para comprar los medicamentos que necesita.,He doesn’t have the means to buy the medicine he needs.
127,mientras,conj,"while, whereas, as long as",nos miró mientras comía un gran trozo de pan,he looked at us while eating a big piece of bread
128,conocer,v,to know (someone or place),ella conoce muy bien a Nicolás,she knows Nicholas very well
129,aquel,adj,that (over there),unos veinte millones de pesetas (de aquella época),about twenty million pesetas (at that time)
130,aquí,adv,here,¡Aquí hay dos también!,There are two here as well!
131,aunque,conj,"although, even though","aunque hay problemas, muchos se pueden evitar","even though there are problems, many can be avoided"
132,quien,pron,"who, whom",¿Quién sabe el título de la película?,Who knows the name of the movie?
133,tomar,v,"to take, drink",mi padre tomó un sorbo de agua y continuó hablando,my father drank a sip of water and continued speaking
134,tres,num,three,"hay tres direcciones: diagonal, horizontal, y vertical","there are three directions: diagonal, horizontal, and vertical"
135,mano,nf,hand,se pueden contar con los dedos de la mano,you can can count with the fingers on one hand
136,sentir,v,"to feel, regret",es una expresión personal de un sentir personal de él,it is a personal expression of his personal feeling
137,gente,nf,people,la gente tiene miedo de perder su identidad,people are scared of losing their identity
138,cuándo,adv,when?,¿Cuándo vuelven? preguntó,When do they return? he asked
139,durante,prep,during,durante una semana traté de no verla,during the week I tried not to see her
140,hijo,nm,"son, [pl] children",cada padre espera que su hijo sea más que él,every father hopes that his child will be more than him
141,tratar,v,"to try, treat, deal with","Traté de aprender español, pero es muy difícil.","I tried to learn Spanish, but it is very difficult."
142,vivir,v,to live,"vamos a Buenos Aires, a vivir en la miseria",I am going to Buenos Aires to live in poverty
143,sino,conj,"but, except, rather",no somos nosotros el centro sino ella,"we are not the focus, but rather she is"
144,lugar,nm,"place, position",es el lugar más lindo de la costa,it is the most beautiful place on the coast
145,problema,nm,problem,el problema es que no nos queda tiempo,the problem is that we don’t have enough time
146,hacia,prep,"toward, towards",sus sentimientos hacia él son todavía tan firmes,her feelings for him are still so strong
147,presidente,nm/f,president,el presidente es la máxima autoridad del país,the president is the one with the most authority in the country
148,cual,pron,"which, who, whom",el amor fue el motivo por el cual lo hizo,love was the reason for which he did it
149,junto,adj,together,la tierra giraba en torno al sol junto con cinco planetas más,the earth revolved around the sun together with five more planets
150,luego,adv,"later, afterwards",primero está ella y luego yo,she’s first then I’m next
151,cómo,adv,how?,¿Cómo se hace un pastel de chocolate?,How do you make a chocolate cake?
152,trabajo,nm,"work, job, effort",pasó su vida entera dedicado a su trabajo,she spent her entire life dedicated to her work
153,caso,nm,"case, occasion","luego, en este caso está plenamente justificada","then, in this case it is fully justified"
154,mayor,adj,"larger, older, main",yo trabajé la mayor parte del tiempo,I worked the majority of the time
155,además,adv,"also, as well, besides","además de español, ¿hablas algún otro idioma?","besides Spanish, do you speak any other language?"
156,acercar,v,to come near,"ella me miró, se acercó, me besó","she looked at me, came up to me, and kissed me"
157,esperar,v,"to wait, hope (for), expect",te esperaremos en el restaurante,we’ll wait for you at the restaurant
158,nunca,adv,"never, ever",se aprecia ahora más que nunca la libertad,you appreciate freedom now more than ever
159,cierto,adj,"certain, sure, true",no sé si esto es cierto o no,I don’t know if this is true or not
160,hora,nf,"hour, time (specific)",te veo dentro de media hora,I will see you in half an hour
161,dónde,adv,where?,¿Dónde está escrito esto en la historia?,Where is that written in history?
162,padre,nm,father,¿Es el padre de mi futuro hijo?,Is he the father of my future child?
163,gustar,v,to be pleasing to,¡Me gusta mucho la música folklórica!,I really like country music!
164,noche,nf,"night, evening","trabaja por la mañana, por la tarde, y por la noche","he works in the morning, the afternoon, and the evening"
165,nosotros,pron,we (subj),ábrenos! somos nosotros,open up! it’s us
166,casi,adv,"almost, nearly",estamos casi siempre solos,we are almost always alone
167,hoy,adv,"today, nowadays",ayer estuvo aquí; hoy puede estar allá,yesterday he was here; today he might be there
168,tipo,nm,"type, kind",reconozco tu oposición a este tipo de ideología,I recognize your opposition to this kind of ideology
169,ojo,nm,eye,los grandes ojos verdes la miraban con ternura,his large green eyes looked at her with tenderness
170,manera,nf,"way, manner",lo hizo de manera muy informal,he did it in a very informal manner
171,importante,adj,important,el momento más importante de la ceremonia,the most important moment of the ceremony
172,contar,v,"to tell, count",me contó una larga y estúpida historia,he told me a long and silly story
173,niño,nm,"child, little boy",he tenido suerte desde que era niño,I have been lucky since I was a child
174,trabajar,v,to work,comenzaban a trabajar de camareros,they began to work as waiters
175,empezar,v,"to begin, start",lentamente su auto empieza a avanzar,his car slowly began to move forward
176,verdad,nf,truth,diga la verdad!,tell the truth!
177,contra,prep,"against, opposite",hermanos contra hermanos y padres contra hijos,brothers against brothers and fathers against sons
178,ciudad,nf,city,quieren estar en la ciudad y no salir al campo,they want to be in the city and not leave for the country
179,buscar,v,to look for,decidí volver a la calle y buscar un empleo,I decided to return to the streets and look for a job
180,ahí,adv,there,debe estar por ahí,it must be around there
181,solo,adj,"lonely, alone","se sentía solo, espantosamente solo","he felt alone, terrifyingly alone"
182,fin,nm,end; a f. de: in order to,puse fin a la discusión,I put an end to the discussion
183,propio,adj,"own, proper, typical",le doy dinero de mi propio bolsillo,I give him money from my own pocket
184,tú,pron,you (subj-sg/+fam),ella es más alta que tú,she is taller than you
185,gobierno,nm,government,el feudalismo fue la forma de gobierno,feudalism was the form of government
186,historia,nf,"history, story",aquello ya pasó a la historia,that’s ancient history now
187,ejemplo,nm,example,no des mal ejemplo a los niños,don’t set a bad example for the kids
188,último,adj,"last, final",se opuso al viaje hasta el último momento,he was against the trip until the last minute
189,punto,nm,"point, dot, period",este punto de vista es mejor,this point of view is better
190,antes,adv,before,quería verla antes de salir,I would like to see her before leaving
191,mil,num,thousand,unos mil años han pasado desde entonces,about a thousand years have passed since then
192,palabra,nf,word,jamás dijo una palabra en inglés,he never said a word in English
193,obra,nf,"work, book, deed",la primera obra literaria de Dante fue La Vida Nueva,the first literary work of Dante was <i>The New Life</i>
194,existir,v,to exist,¿Puede existir alguien que sea perfecto?,Is it possible that a perfect person exists?
195,perder,v,"to lose, miss",quiere perder diez libras antes de la boda,she wants to lose ten pounds before the wedding
196,cuenta,nf,"bill, account",sería bueno sacar la cuenta y calcular gastos,it would be good to take inventory and calculate the costs
197,allí,adv,"there, over there","allí están, junto a la playa","there they are, on the beach"
198,escribir,v,to write,mi padre escribe unas cartas cortas,my father wrote a few short letters
199,cualquiera,adj,"any, anyone",son patrocinadas con lo que cualquiera puede donar,they are paid for by donations from anyone
200,grupo,nm,group,¿Cuál será su papel en ese grupo de trabajo?,What will be your role in this work group?
201,señor,nm,"sir, Mr, lord","¿Puedo pagar con dólares? // Sí, señor.","Can I pay with dollars? // Yes, sir."
202,pequeño,adj,"little, small, young","a pesar de su pequeño tamaño, estaba llena de detalles","in spite of its small size, it was full of details"
203,embargo,adv,nevertheless,"sin embargo, es uno de mis mejores amigos","nevertheless, he is one of my best friends"
204,agua,nf (el),water,Déme un vaso de agua; que tengo mucha sed.,Give me a glass of water; I am very thirsty.
205,realizar,v,"to fulfill, carry out",el viaje se realizó en noviembre,the trip took place in November
206,nadie,pron,"nobody, anybody",nadie sabe nada,nobody knows anything
207,entrar,v,to enter,¡Este maldito no puede entrar en nuestra casa!,This devil cannot enter into our house!
208,arte,nm,"art, skill",la creación de un museo de arte moderno y contemporáneo,the creation of a museum of modern and contemporary art
209,leer,v,to read,prefiero leer a los autores de moda,I prefer to read the popular authors
210,amigo,nm,friend,¿No tienes un amigo a quien me podrías presentar?,You don’t have a friend that you could introduce me to?
211,recordar,v,"to remember, remind",prefiero no recordar esa época de mi vida,I prefer not to remember that time of my life
212,morir,v,to die,los pobres murieron de pulmonía meses después,the poor people died of pneumonia months later
213,único,adj,"only, unique, sole",era el único hijo varón de la familia,he was the only male child in the family
214,lado,nm,side,está situada al lado derecho,it is situated on the right side
215,nombre,nm,"name, noun",Susana no es mi nombre verdadero,Susana is not my real name
216,recibir,v,to receive,Pavlov recibe el Premio Nobel por sus estudios,Pavlov receives the Nobel Prize for his studies
217,pedir,v,"to ask for, request",me atreví a pedirle que bailara con migo,I dared to ask if he would dance with me
218,permitir,v,"to allow, permit",no se me permitió jugar allí por varios días,I wasn’t allowed to play there for several days
219,preguntar,v,to ask (a question),les voy a preguntar si quieren comer,I am going to ask them if they want to eat
220,social,adj,social,"no me gusta la vida social, no voy a ninguna fiesta","I don’t like social life, I’m not going to any party"
221,sistema,nm,system,el corazón es parte del sistema circulatorio,the heart is part of the circulatory system
222,tal,adj,such (a),bien sabía que tal cosa era imposible,it was well known that such a thing was impossible
223,segundo,adj,second,espérame un segundo,wait just a second
224,ante,prep,"before, in the presence of",no sé qué hacer y cómo actuar ante estas circunstancias,I don’t know what to do and how to act faced with these circumstances
225,viejo,adj,"old, aged","el hombre viejo tiene como ochenta años, y está loco","the old man is about eighty years old, and he is crazy"
226,madre,nf,mother,ahora está casada y es madre de familia,now she is married and the mother of a family
227,siglo,nm,"century, age",los poetas más populares del siglo 20,the most popular poets of the twentieth century
228,nacional,adj,national,le dieron el premio nacional de poesía,they gave him the national award in poetry
229,entender,v,to understand,todavía no entiendo demasiado bien lo que pasó,I still don’t understand very well what happened
230,libro,nm,book,¿Está usted escribiendo un libro sobre la política?,You are writing a book about politics?
231,alto,adj,"tall, high",estás tan alto como yo,you are as tall as I am now
232,cuerpo,nm,body,el cuerpo humano se compone de millones de células,the human body is composed of millions of cells
233,familia,nf,family,la familia es la unidad social más significativa,family is the most significant social unit
234,comenzar,v,"to begin, start",a los veintidós años comenzó a aprender castellaño,"at twenty-two years old, he began to learn Spanish"
235,presentar,v,"to introduce, present",Mi madre me presentó a mi futuro esposo.,My mother introduced me to my future husband.
236,bajo,prep,"under, underneath",encontraron las sepulturas bajo tierra,they found the tombs under the ground
237,según,prep,according to,"Según su experiencia, ésa era la pista correcta.","According to his experience, this was the right trail."
238,frente,adv,front,"si uno situa un espejo frente a otro, crea un portal infinito","if you place one mirror in front of another, it creates an infinite loop"
239,crear,v,to create,su actitud crea muchos problemas,your attitude creates a lot of problems
240,tema,nm,"theme, subject, topic",es un tema delicado,it’s a delicate topic
241,cuatro,num,four,tienen cuatro patas y cuernos,they have four legs and horns
242,ah,interj,oh,"Ah, bueno . . . ¿Ya movieron los materiales?","Oh, good . . . You already moved the materials?"
243,humano,adj,human,El sistema nervioso humano tiene sistemas neurales complejos.,The human nervous system has complex neural systems.
244,pueblo,nm,"people, village",el libro no representa al pueblo portugués,the book did not represent the Portuguese people
245,producir,v,"to produce, cause",tus acciones me producen tristeza,your actions cause me grief
246,abrir,v,to open,Abre la ventana. Hace calor.,Open the window. It’s hot.
247,idea,nf,idea,no podemos renunciar a la idea de la igualdad,we can’t give up on the idea of equality
248,millón,num,"million, fortune",le ha proporcionado un cheque de un millón de pesetas,he has given him a check for a million pesetas
249,sentar,v,"to sit (down), seat",los niños pasaban a sentarse en sus escritorios,the children went to sit at their desks
250,aún,adv,"still, yet",ni aún así me quedaría,not even then would I stay
251,caer,v,to fall,no quiero caer en mi tumba siendo joven,I don’t want to fall down dead at a young age
252,voz,nf,voice,un hombre de voz vibrante y rica empezó a cantar,a man with a rich and vibrant voice began to sing
253,terminar,v,"to finish, end",cuelga sin terminar la conversación,he hangs up without finishing the conversation
254,oír,v,to hear,no se oía ningún sonido,not a sound was heard
255,cambiar,v,to change,no van a cambiar la disposición de invitados,they are not going to change the seating arrangement
256,ninguno,adj,"no, none, nobody (PRON)",No tengo ningún lugar adonde ir.,I have no place to go.
257,considerar,v,to consider,no podía considerar la primera hipótesis con seriedad,I couldn’t seriously consider the first hypothesis
258,político,adj,political,la acción política debe respaldarse en la económica,political action should be supported economically
259,tierra,nf,"earth, land, ground",la tierra aquí es oscura y rica,the land here is dark and rich
260,realidad,nf,"reality, actuality","le habló a Rosabel, que en realidad se llamaba María","he spoke to Rosabel, who in reality is named María"
261,convertir,v,"to convert, change, become",el café llegó a convertirse en la bebida más popular de Cuba,coffee went on to become the most popular drink in Cuba
262,español,adj,Spanish,la lengua española de hoy es el castellano,the Spanish language of today is Castilian
263,igual,adj,"equal, same (as)",los indios son seres humanos iguales que nosotros,"Indians are human beings, the same as us"
264,todavía,adv,"still, yet",los animales todavía están vivos,the animals are still alive
265,cabeza,nf,head (part of body),planteaba muchas preguntas en mi cabeza,he planted a lot of questions in my head
266,derecho,nm,"right, justice, law",Tengo derecho a opinar.,I have the right to express my opinion.
267,mantener,v,"to keep, maintain",Luis cruzó los brazos y se mantuvo sereno,Luis crossed his arms and kept calm
268,utilizar,v,"to use, utilize",sería una buena idea utilizar colores pálidos,it would be a good idea to use pale colors
269,calle,nf,street,llegó a la esquina de la calle La Merced y La Esperanza,she arrived at the street corner of La Merced and La Esperanza
270,través,prep,"a t. de: through, across",se enteró a través de un amigo,she found out about it through a friend
271,estado,nm,"state, condition, status",hay un estado de incertidumbre que flota en el ambiente,there was a state of uncertainty hanging in the air
272,relación,nf,"relationship, relation",he tenido una relación muy estrecha con los compositores,I have had a very close relationship with the composers
273,sacar,v,to take out,sacó un bolígrafo de su bolso y firmó el cheque,she took a pen out of her purse and signed the check
274,puerta,nf,door,¿Por dónde estará la puerta de salida?,Where would the exit door be?
275,gracias,interj,"thanks, thank you",Doygraciasa Dios por haberme permitido alcanzar mi objetivo.,I thank God for letting me achieve my goal.
276,necesitar,v,to need,vas a necesitar un trabajo nuevo,you are going to need a new job
277,resultar,v,"to result, turn out",el viaje resultó perfecto,the trip turned out perfectly
278,luz,nf,light,desaparece la luz hasta el oscuro,the light disappeared into the darkness
279,paso,nm,"step, pace",di dos pasos adelante y uno hacia atrás,I took two steps forward and one backwards
280,general,adj,general,"se realiza en el pabellón de operaciones, bajo anestesia general","it is carried out in the operation room, under general anesthesia"
281,escuchar,v,to listen to,tuvo oportunidad de escuchar comentarios de viajeros,he had the opportunity of hearing the travelers’ comments
282,guerra,nf,"war, warfare",qué pronto se olvida a las víctimas de una guerra,how soon we forget the victims of war
283,amor,nm,love,¡Tengo el amor más grande del mundo!,I have the greatest love in the world!
284,cinco,num,five,mi hija solamente tiene cinco años,my daughter is only five years old
285,situación,nf,situation,¿Cómo es la situación allí actualmente?,What is the situation there at present?
286,conseguir,v,"to get, acquire, obtain",te puedo conseguir su número,I can get you her phone number
287,lograr,v,"to achieve, get, manage",un director no puede lograr buenos resultados sin ayuda,a director can’t get good results without help
288,mes,nm,month,la boda tendrá lugar el próximo mes de noviembre,the wedding will take place next month in November
289,quién,pron,"who?, whom?",¿Quién es el padre de su hijo?,Who is the father of your child?
290,fuerza,nf,"strength, force, power",necesitaba recuperar fuerzas,I needed to recover my strength
291,ocurrir,v,"to happen, occur",el miedo a lo que pudiera ocurrir me inmovilizó,the fear of what could happen immobilized me
292,aparecer,v,to appear,"detrás suyo, Teresa apareció por la puerta de la cocina","behind him, Teresa appeared at the kitchen door"
293,diferente,adj,"different, separate","en un entorno urbano el reto, en cambio, es diferente","in an urban environment, however, the challenge is different"
294,muerte,nf,death,sólo la muerte no tiene remedio,only death cannot be cured
295,ganar,v,"to win, earn",después de diez años ganó el Premio Nobel,after ten years he won the Nobel Prize
296,estudio,nm,"study, learning",he colaborado en un estudio de psicología descriptiva,I have participated in a descriptive psychology study
297,nivel,nm,level,el nivel del mar empezaba a aumentar,the sea level began to rise
298,proceso,nm,"process, procedure",el proceso electoral fue justo,the electoral process was fair
299,fuera,adv,"out, outside, away",hace como diez años que vivo fuera del Paraguay,I have lived outside of Paraguay for about ten years
300,largo,adj,long,Salgo de pronto a un largo viaje.,I’m leaving soon for a long trip.
301,semana,nf,week,"no todos los días, pero varios días de la semana","not every day, but a few days of the week"
302,partido,nm,"party, group, (sports) match",fue consejero de un candidato del partido conservador,he was an advisor to the conservative party candidate
303,acabar,v,a. de V: to have just Ved; finish,la película acabó bien,the movie ended well/had a good ending
304,explicar,v,to explain,¿Podría explicar los detalles de este análisis?,Could you explain the details of this analysis?
305,cuyo,pron,whose,tengo un amigo cuyo niño asiste a esa escuela,I have a friend whose son goes to that school
306,razón,nf,reason; tener r.: to be right,se quejan sin razón,they complain for no reason
307,negro,adj,black,Hay un agujero negro en la galaxia M87.,There is a black hole in galaxy M87.
308,bastante,adj,"rather, fairly, quite a bit (ADV)",estoy bastante satisfecho con mi vida,I am quite satisfied with my life
309,efecto,nm,effect,para estudiar el efecto del Sol sobre la emisión de rayos X,to study the sun’s effect on X-ray emission
310,servicio,nm,"service, helpfulness",es un servicio público que beneficia al individuo,it is a public service that benefits the individual
311,formar,v,to form,salieron para formar sus propios grupos,they left to form their own groups
312,económico,adj,economic,es necesario tener progreso económico,it is necessary to have economic progress
313,servir,v,to serve,destapa la botella y sirve unas copas,he uncaps the bottle and serves the drinks
314,allá,adv,"there, over there","miren allá, cerca de la fuente","look over there, by the fountain"
315,empresa,nf,"firm, company, venture",operaba con una empresa constructora del Reino Unido,he worked with a construction company from the United Kingdom
316,centro,nm,"center, middle, downtown",no necesitan estar solos en el centro del escenario,they don’t need to be alone in the center of the stage
317,usar,v,to use,mi teléfono no funciona y quisiera usar el tuyo,my telephone doesn’t work and I wanted to use yours
318,tras,prep,"after, behind",había retornado a su tierra tras años de lucha,he had returned to his homeland after years of struggle
319,cambio,nm,change; en c.: instead,podría requerir un cambio de actitud,it could require a change in attitude
320,clase,nf,"kind, class, order",¿Qué otra clase de música le interesa?,What other kind of music interests you?
321,distinto,adj,"distinct, different",abrirían las puertas a un futuro distinto para mí,they would open doors to a different future for me
